original_index,dialog_id,turn,utterance,mistral_category,mistral_strategy,qwen_strategy
9840,20180826-061500_476_live,5,Also it will give them food and healthcare they need to survive,Rational / Impact Appeal,Rational Appeal,Rational Appeal
9842,20180826-061500_476_live,6,Whatever amount you donate will go directly to the kids.,Rational / Impact Appeal,Rational Appeal,Rational Appeal
9844,20180826-061500_476_live,7,I think it is a great charity because it helps children who are separated from their families,Rational / Impact Appeal,Rational Appeal,Moral Appeal
9846,20180826-061500_476_live,8,Well most of their work is in poor countries but I am sure that you can do both,Call to Action,Call to Action,Framing
9848,20180826-061500_476_live,9,Any amount would help. They accept donations of any size.,Call to Action,Call to Action,Framing
9850,20180826-061500_476_live,10,That is a great choice.,Conversation Management,Acknowledgement,Acknowledgement
9851,20180826-203821_83_live,0,"hi, have you done this before?",Conversation Management,Donation Baseline / Habit Probe,Qualification / Segmentation
9853,20180826-203821_83_live,1,Can I tell a little about save the children?,Conversation Management,Permission / Time Check,Permission / Time Check
9855,20180826-203821_83_live,2,It's non governmental and international. It helps children and their families here and in poor countries. Have you been to the site?,Rational / Impact Appeal,Rational Appeal,Framing
9857,20180826-203821_83_live,3,"sure, it's  URL There you will see that for the price of a soda you can help a child in need. Would you like to donate?",Exchange / Incentives,Rewarding Activity,Framing
9859,20180826-203821_83_live,4,They help children in war zones. Wouldn't you like to donate something today? Is a trustable fund. Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all your payment,Call to Action,Call to Action,Credibility Appeal
9861,20180826-203821_83_live,5,"maybe you will reconsider, acting today is the best way to directly help children and families in need. It won't hurt to donate $25 today, how bout it? The research team will collect all donations and send it to Save the Children for us.",Call to Action,Call to Action,Commitment and Consistency
9863,20180826-203821_83_live,6,"sure, you can sponsor a child, help with U.s. relief or health and education for a child in a developing country. That's alot of help, how bout it? Can I count you in for a donation?",Call to Action,Call to Action,Call to Action
9865,20180826-203821_83_live,7,maybe just $0.01? It still will go a long way.,Commitment / Consistency,Foot-in-the-door,Framing
9867,20180826-203821_83_live,8,"Ok, thank you. That $0.01 donation will go a long way to helping children. Is there anymore info that you would like",Conversation Management,Acknowledgement,Acknowledgement
9869,20180826-203821_83_live,9,"Yes I got it, $0.10. Thanks and I think we can submit now",Conversation Management,Acknowledgement,Acknowledgement
9871,20180826-052222_969_live,0,hello ,Conversation Management,Greeting / Rapport,Greeting / Rapport
9873,20180826-052222_969_live,1,"I'm doing great, I hope all is well. ",Conversation Management,Greeting / Rapport,Greeting / Rapport
9875,20180826-052222_969_live,2,"T hat is correct, I hope you are interested in donating today. How much do you like to donate to the charity now? Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all your payment.",Call to Action,Call to Action,Call to Action
9877,20180826-052222_969_live,3,"Save the Children, it is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",Rational / Impact Appeal,Rational Appeal,Non-persuasive Other
9879,20180826-052222_969_live,4,"It is I have personally been involved with this charity after finding out that millions of Syrian children have grown up facing the daily threat of violence. In the first two months of 2018 alone 1,000 children were reportedly killed or injured in intensifying violence",Rational / Impact Appeal,Rational Appeal,Storytelling
9881,20180826-052222_969_live,5,"My husband had family in syria when the attacks where happening and I can tell you that not being able to do anything was the worst feeling in the world, but knowing that charities like save the children exist was a relief  ",Emotional Influence,Empathy Appeal,Storytelling
9883,20180826-052222_969_live,6,"yes Save the Children does in fact help find places for refugees, if you would like more info you can visit  URL s/what-we-do/emergency-response/refugee-children-crisis  ",Rational / Impact Appeal,Rational Appeal,Rational Appeal
9885,20180826-052222_969_live,7,Thank you for your donation. Have a blessed day ,Conversation Management,Acknowledgement,Acknowledgement
9887,20180826-052222_969_live,8,As long as there are good people like you in the world I am sure we will be able to raise enough ,Social Influence,Social Proof,Appeal to Values
9889,20180826-052222_969_live,9,besides donate and visit  URL for more information ,Call to Action,Call to Action,Call to Action
9891,20180826-182048_519_live,0,hello,Conversation Management,Greeting / Rapport,Greeting / Rapport
9893,20180826-182048_519_live,1,ok tell me ,Conversation Management,Permission / Time Check,Charity Awareness Probe
9895,20180826-182048_519_live,2,Thats great. ,Conversation Management,Acknowledgement,Acknowledgement
9897,20180826-182048_519_live,3,I donate money to save the children,Commitment / Consistency,Activation of Personal Commitment,Non-persuasive Other
9899,20180826-182048_519_live,4,Yes. Save the children is a great charity. They are really serious about helping children.,Authority / Expertise,Credibility Appeal,Credibility Appeal
9901,20180826-182048_519_live,5,I have been donating money to save the children for 5 years. I give them 1000 dollars every year. ,Authority / Expertise,Credibility Appeal,Credibility Appeal
9903,20180826-182048_519_live,6,You can donate any amount to save the children. Would you like to donate a dollar or more to them?,Call to Action,Call to Action,Call to Action
9905,20180826-182048_519_live,7,I have done my research and I can tell you they are a great organization full of kind / sincere people.,Authority / Expertise,Expertise,Credibility Appeal
9907,20180826-182048_519_live,8,Yes that is a great idea. Would you like the link to their website?,Conversation Management,Logistics / Coordination,Logistics / Coordination
9909,20180826-182048_519_live,9, URL    - Have a great day.,Conversation Management,Conversation Closing,Conversation Closing
9911,20180826-182048_519_live,10,Thank you for your time.,Conversation Management,Acknowledgement,Conversation Closing
9912,20180826-055352_947_live,0,Hello!,Conversation Management,Greeting / Rapport,Greeting / Rapport
9914,20180826-055352_947_live,1,So it looks like you have the option to donate some of your earnings from this task to Save the Children. Have you heard of that charity before?,Conversation Management,Charity Awareness Probe,Charity Awareness Probe
9916,20180826-055352_947_live,2,"It's an international organization that supports children in developing countries. It helps children get access to health, education, safety, etc.",Rational / Impact Appeal,Rational Appeal,Rational Appeal
9918,20180826-055352_947_live,3,"It's called Save the Children. It's a rather large organization and well known, you can search for it outside this chat. It's not just a made up organization for the sake of the chat. Do you donate much to charity now?",Conversation Management,Charity Awareness Probe,Credibility Appeal
9920,20180826-055352_947_live,4,"I understand. I'm in a similar situation, and I'm hoping to buy a house soon with my boyfriend. I'd guess that's why we're both on mechanical turk early on a Sunday. However, donating to charity does help those even less fortunate than me, so I try to carve out some money here and there to help out. It seems like this would be an easy way to send some money to organization that could really use it, and it wouldn't take any extra time, either.",Rational / Impact Appeal,Rational Appeal,Moral Appeal
9922,20180826-055352_947_live,5,"I don't think you have to donate by the rules of the chat, but when you think about it, it's often the first, smallest donation that can be the hardest and the most rewarding. If you donated less than a dollar you might not notice that in your own household budget, but combined with all the other donations from this task it could make a huge difference in the life of children who have no parents to take care of them, or children who are fleeing violence or starvation",Commitment / Consistency,Foot-in-the-door,Moral Appeal
